N,P,K,temperature,humidity,ph,rainfall,label,ndvi,elevation,slope
83,28,34,25.83,78.43,5.806,88.29,cassava,0.575,117.98,10.89
45,33,38,29.37,72.03,5.607,119.86,cassava,0.445,249.83,3.7
55,39,44,25.0,72.96,5.662,85.76,maize,0.57,97.16,1.96
60,57,24,18.66116213,61.55327249,6.1212940410000005,75.03247667,maize,0.563,240.52,1.98
81,18,50,26.80750629,88.22874955,6.429788072999999,58.79889057,watermelon,0.401,68.77,5.7
44,41,50,30.48,74.11,6.345,179.25,pomelo,0.672,52.67,10.04
37,62,17,25.68576704,69.84354028,7.121254928,74.62068748,blackgram,0.345,125.89,7.32
96,70,65,28.89,81.41,6.822,253.04,rice,0.622,79.12,0.03
39,37,25,33.33024826,45.61143594,6.953246506,98.28583013,mango,0.468,83.06,5.27
59,34,42,30.78,78.07,6.62,138.43,maize,0.688,153.4,1.06
28,65,23,28.38686534,61.88871127,7.405176138,74.24459122,blackgram,0.424,7.91,0.8
47,30,43,31.8,77.5,6.568,99.47,sweet potato,0.621,221.8,9.24
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,rice,0.713,34.64,3.11
90,37,40,24.77,74.8,6.368,186.44,pomelo,0.72,136.06,0.39
44,55,25,29.6321052,65.91359954,7.42160832,71.16331975,blackgram,0.363,163.77,0.52
37,43,46,32.57,69.16,7.126,109.24,mango,0.731,47.67,10.99
55,34,43,27.9,69.96,6.165,218.98,pomelo,0.7,209.23,6.86
62,24,51,26.59,67.73,6.629,126.57,sweet potato,0.619,136.82,7.66
58,28,68,30.0,74.55,6.62,190.41,coconut,0.615,100.33,2.12
47,48,49,25.23,65.38,6.852,106.23,papaya,0.451,174.49,4.44
91,84,52,29.14827211,78.71024836,6.390741836,117.536781,banana,0.587,208.53,3.82
57,43,53,24.53,87.79,6.642,295.95,abaca,0.755,107.85,4.69
108,62,51,31.74,72.19,6.431,175.94,banana,0.787,178.27,2.5
64,47,58,24.95,74.22,5.867,118.64,maize,0.61,38.01,0.74
75,50,43,24.32,84.76,6.169,243.18,abaca,0.823,276.12,10.02
51,32,57,29.17,72.03,6.629,177.9,coconut,0.68,1.21,1.56
53,27,58,24.82,63.58,5.641,148.29,sweet potato,0.369,101.08,10.54
37,49,25,29.914544300000006,85.85384444,6.415459592,41.39081525,mungbean,0.435,1.63,3.94
58,21,43,26.01,65.07,6.085,118.41,sweet potato,0.621,32.61,10.53
49,37,55,25.26,80.81,7.351,96.27,cassava,0.493,207.76,7.93
27,60,17,26.41768321,63.64698302,7.026795358999999,64.42177127,blackgram,0.461,200.26,9.99
113,54,32,28.75,76.58,7.013,45.72,maize,0.643,46.85,10.3
86,40,46,25.31,72.69,5.531,178.2,rubber,0.817,261.83,2.46
95,37,55,27.22,78.59,5.503,189.38,cacao,0.791,104.57,3.59
56,30,35,30.31,64.86,5.622,92.08,sweet potato,0.583,188.9,13.82
29,36,25,28.28511547,88.4393979,7.130278657000001,48.56690235,mungbean,0.52,123.1,3.0
93,36,61,30.22,80.93,6.19,182.27,durian,0.56,289.22,6.85
88,52,61,25.27,87.48,6.623,136.07,papaya,0.633,43.05,7.19
109,34,49,27.2,80.95,6.599,257.62,durian,0.761,232.44,5.36
85,32,55,30.42,77.25,7.185,126.57,coconut,0.581,57.83,4.03
53,33,49,29.62,78.68,6.042,223.39,rubber,0.664,293.89,12.99
94,33,49,26.13,75.63,6.822,84.4,cassava,0.643,62.19,5.19
83,28,34,25.83,78.43,5.806,88.29,cassava,0.575,117.98,10.89
32,11,31,25.06871967,93.31410447,6.205931637999999,134.84190690000003,coconut,0.733,62.49,6.56
20,77,23,34.87248659,38.83786012,5.180271502,148.25027859999997,pigeonpeas,0.611,336.61,0.64
34,34,35,27.27433181,47.16808054,6.422710539,95.257992,mango,0.466,71.12,6.36
75,25,55,26.07,62.43,7.344,155.11,cassava,0.556,192.3,5.15
115,34,61,29.57,87.94,5.92,188.47,cacao,0.674,276.99,12.42
34,31,31,29.81,73.34,6.23,170.45,cassava,0.526,116.2,11.97
26,18,27,27.45907759,92.90736493,5.836075368,142.1430003,coconut,0.661,91.4,4.29
0,70,21,36.30049702,56.03021253,4.672437054,101.6073988,pigeonpeas,0.428,201.17,7.54
26,67,16,29.10713092,67.90577375,7.17620823,67.83345933,blackgram,0.3,175.2,8.1
59,38,36,30.76,69.24,5.632,160.5,sweet potato,0.483,13.64,2.21
72,33,59,30.01,63.41,6.572,142.73,sweet potato,0.683,93.88,8.04
95,41,37,29.31,57.79,5.805,122.14,watermelon,0.407,33.22,5.59
25,12,26,28.56973521,95.67906668,6.436314406,134.83703480000003,coconut,0.682,50.14,6.1
16,77,22,31.48469278,35.6395615,6.574209678,100.546816,pigeonpeas,0.586,97.72,9.13
59,58,36,33.15,75.29,5.845,106.41,watermelon,0.529,115.16,3.96
108,72,46,25.16278237,84.97849241,6.110844721,90.94554618,banana,0.563,166.11,4.32
15,27,28,33.80398664,46.12866113,4.507523551,90.82549241,mango,0.351,93.74,8.73
32,56,21,27.38538997,88.66663953,6.702772465,58.29933073,mungbean,0.555,55.73,4.91
95,39,68,27.16,73.43,6.833,142.7,coconut,0.662,25.83,6.89
14,18,30,29.80747243,52.13797867,5.191265116,95.74606104,mango,0.624,209.81,0.8
92,40,34,27.96,73.46,5.642,154.13,maize,0.671,126.3,11.61
125,56,53,30.53,77.34,6.204,121.78,banana,0.724,133.17,7.05
38,24,44,27.49,64.03,6.874,167.85,sweet potato,0.371,157.52,1.17
63,54,49,31.13,81.7,5.867,133.78,banana,0.611,27.38,6.12
29,27,44,27.62,79.04,5.814,135.32,sweet potato,0.408,287.26,10.9
5,68,20,18.72987676,61.33186249,5.001038726,139.8710041,pigeonpeas,0.442,166.54,10.68
86,76,54,29.3159075,80.11585705,5.926824754,90.10978128,banana,0.782,254.96,8.9
50,55,42,26.65,70.21,6.651,45.27,watermelon,0.53,138.59,1.29
74,61,34,27.24,77.76,5.987,107.25,watermelon,0.628,76.77,0.02
99,57,43,26.25,63.16,6.791,95.71,maize,0.661,16.34,5.85
59,45,51,26.87,63.15,5.84,128.25,watermelon,0.519,75.11,3.07
31,29,29,32.28,66.69,6.399,134.38,cassava,0.385,233.04,4.49
45,26,57,29.4,84.92,6.732,218.72,coconut,0.455,65.04,3.68
111,50,46,26.79,91.52,5.658,193.72,abaca,0.592,148.55,11.12
55,33,54,27.8,79.19,6.285,174.52,cacao,0.622,287.29,7.64
64,64,67,29.51,77.19,5.888,203.68,banana,0.604,61.48,4.43
49,40,63,24.93,72.19,7.04,137.4,papaya,0.497,40.5,3.11
81,46,58,29.33,83.65,6.642,230.3,cacao,0.789,411.92,11.23
55,26,47,30.57,76.63,5.259,223.48,rubber,0.653,101.67,15.72
98,42,56,26.59,75.5,6.476,47.89,watermelon,0.434,17.38,1.6
33,57,17,27.89636126,88.71782287,6.78415271,57.79863368,mungbean,0.634,118.51,3.23
58,67,48,26.28,91.44,6.474,232.86,rice,0.693,51.15,0.47
72,48,49,27.18,89.3,6.376,242.21,rice,0.467,25.29,4.75
27,41,44,25.46,68.84,6.301,73.37,mango,0.659,54.35,2.68
86,60,63,27.39,80.61,6.708,119.8,banana,0.74,7.39,0.65
79,57,53,25.35,73.05,6.637,95.62,papaya,0.677,172.61,2.93
48,27,52,26.88,71.95,6.467,111.33,pomelo,0.494,212.42,11.74
14,75,24,24.54757829,57.3414485,6.436160044,118.3606557,pigeonpeas,0.387,194.88,10.97
58,64,46,32.24,74.36,6.178,90.74,papaya,0.728,165.02,0.33
60,42,38,24.26,84.82,6.409,243.05,abaca,0.79,212.08,12.52
109,36,65,29.31,83.02,5.285,254.96,rubber,0.777,286.98,3.59
42,60,47,33.46873719,92.12746225,6.834808347999999,136.8277041,papaya,0.536,199.06,7.58
85,25,53,29.3,76.72,6.974,192.08,pomelo,0.467,223.13,2.72
35,45,45,25.43,85.07,5.669,261.29,rubber,0.723,174.89,6.56
92,37,53,27.72,77.67,6.4,280.44,rubber,0.833,254.91,14.63
27,10,33,27.81132822,97.48410555,6.465906333,154.06212209999995,coconut,0.524,114.18,3.21
20,74,16,36.04353699,43.61444121,4.759490199,159.8938645,pigeonpeas,0.553,95.09,3.98
113,51,53,26.51,88.93,6.791,172.73,cacao,0.665,477.67,15.42
65,37,46,26.24,88.76,6.029,188.95,abaca,0.601,122.68,16.05
30,65,25,32.88733849,64.59457409,7.70650895,71.50569456,blackgram,0.424,217.16,9.75
112,73,48,29.244063800000006,77.32017166,5.7074889870000005,90.66727868,banana,0.896,120.17,7.13
26,32,32,30.91471455,49.92963856,6.810186079,90.14047759,mango,0.636,17.81,4.55
40,51,17,28.66086349,86.12194568,6.860602782000001,50.01534317,mungbean,0.429,143.95,6.42
99,37,43,31.63,80.47,6.139,154.47,sweet potato,0.416,168.16,13.74
76,31,53,24.09,64.76,5.987,146.5,sweet potato,0.676,237.33,7.75
104,39,55,24.12,84.88,6.615,162.1,pomelo,0.765,38.97,2.27
82,43,50,28.93,78.13,5.348,225.18,rubber,0.624,382.46,7.58
27,34,64,31.37,65.78,5.598,134.37,sweet potato,0.665,23.0,4.98
73,29,72,26.63,81.01,6.022,214.52,coconut,0.565,39.23,0.09
88,45,63,28.95,78.57,6.904,89.35,rice,0.65,63.82,4.35
87,41,47,28.39,89.28,6.406,184.44,abaca,0.73,93.95,15.12
61,45,48,28.56,77.67,5.395,269.09,rubber,0.755,109.68,15.4
90,20,43,25.52,62.7,6.511,130.14,sweet potato,0.558,191.09,13.61
50,25,51,27.48,84.39,7.075,233.2,coconut,0.642,81.25,6.23
80,29,55,30.96,62.93,5.766,82.24,cassava,0.367,65.92,0.78
26,27,63,25.07,56.26,6.837,122.63,mango,0.701,157.26,2.73
18,55,23,21.9989826,56.31006755,6.98571967,136.82743119999998,pigeonpeas,0.352,341.97,6.86
90,60,49,28.41,56.45,7.023,89.01,watermelon,0.435,16.92,7.57
83,53,58,27.06,64.02,6.137,41.14,watermelon,0.485,41.0,6.37
66,25,49,30.78,88.75,6.096,237.65,rubber,0.641,268.09,14.25
80,38,49,25.79,81.8,6.373,163.77,cacao,0.803,426.1,7.81
72,44,51,31.89,81.06,7.036,233.78,coconut,0.63,84.28,6.82
120,7,47,24.24782473,83.03687902,6.653867608,54.76576239999999,watermelon,0.507,146.15,4.2
107,49,47,26.82,91.2,6.304,253.65,abaca,0.793,343.69,5.9
68,70,54,31.29986342,92.76039164,6.986228647000001,54.77830202,papaya,0.553,25.29,6.45
68,32,46,26.48,73.61,5.824,178.45,sweet potato,0.382,133.31,11.89
107,43,52,26.07,87.84,6.296,183.11,abaca,0.857,95.33,17.52
44,37,75,29.56,78.6,5.807,128.69,coconut,0.557,105.87,1.18
78,18,29,28.46,64.35,6.597,91.61,cassava,0.358,12.78,11.45
60,44,51,30.57,84.85,7.239,110.65,pomelo,0.466,36.9,4.19
47,41,43,30.36,76.62,5.208,204.22,rubber,0.681,92.94,13.16
92,60,23,18.66746724,71.516474,5.721667141,69.93293255,maize,0.712,193.95,6.45
68,27,47,25.96,77.23,6.2,102.44,cassava,0.473,161.33,6.56
111,41,39,26.25,86.37,6.495,295.63,abaca,0.775,421.91,15.3
108,59,66,28.01,77.56,6.127,87.77,banana,0.888,130.02,7.62
